iter	CrossEntropy
0	0.6522757314
1	0.6172509988
2	0.5867448668
3	0.5578419991
4	0.5311208089
5	0.5090991344
6	0.4876353577
7	0.469280271
8	0.4512288067
9	0.4356686594
10	0.4218016596
11	0.4084698109
12	0.3962762595
13	0.3846962442
14	0.3742148284
15	0.3646915755
16	0.3557896168
17	0.3480412913
18	0.3410005985
19	0.3346289026
20	0.32780555
21	0.322246062
22	0.3166835038
23	0.3119690584
24	0.3077721587
25	0.3036332945
26	0.2997563222
27	0.2965816154
28	0.2933645165
29	0.2908592254
30	0.2876021844
31	0.2848477217
32	0.2822279331
33	0.2800010073
34	0.2774755324
35	0.2754757833
36	0.2735732687
37	0.2716110444
38	0.2700244043
39	0.2683144927
40	0.2668633428
41	0.2650698888
42	0.2637706569
43	0.2623359526
44	0.2612688982
45	0.2600749964
46	0.2590011719
47	0.2578824566
48	0.2569563137
49	0.2557247993
50	0.2546730805
51	0.2538378124
52	0.2529349605
53	0.2519811918
54	0.251213569
55	0.2505001666
56	0.249740612
57	0.2490684242
58	0.2484123066
59	0.2478516773
60	0.2473149442
61	0.2468348859
62	0.2463468621
63	0.2458096751
64	0.2452383858
65	0.2447613398
66	0.2443350535
67	0.2438927598
68	0.2434694059
69	0.2429247552
70	0.2424928196
71	0.2420664881
72	0.241760364
73	0.2412770995
74	0.2409133361
75	0.2405174101
76	0.2401326775
77	0.2397771199
78	0.2394234574
79	0.2391112218
80	0.2387702721
81	0.2384382904
82	0.2380754691
83	0.2378051651
84	0.2375342977
85	0.2372149422
86	0.2369613013
87	0.2366283568
88	0.2363009942
89	0.236114462
90	0.2358915854
91	0.2355897184
92	0.2353781885
93	0.2351448299
94	0.234933568
95	0.2347327832
96	0.2344447185
97	0.2342344321
98	0.2340266208
99	0.2338033282
100	0.2336070608
101	0.2334336526
102	0.233265161
103	0.2330966904
104	0.2328991555
105	0.2326358103
106	0.2324362005
107	0.2322695783
108	0.2320494335
109	0.2318588946
110	0.2316934183
111	0.2315361747
112	0.2313931011
113	0.2312121008
114	0.2310965848
115	0.2309560188
116	0.2308140244
117	0.2306551517
118	0.2305107342
119	0.2303793391
120	0.2302526969
121	0.2300832723
122	0.2299748975
123	0.2298190561
124	0.2296806102
125	0.2295350728
126	0.2294235836
127	0.2293229301
128	0.2292227503
129	0.2291093614
130	0.2289734484
131	0.2288330588
132	0.2287083849
133	0.2286116627
134	0.2284758801
135	0.228393742
136	0.2282744805
137	0.2281716292
138	0.2280535101
139	0.2279555105
140	0.2278628438
141	0.2277791643
142	0.2276930919
143	0.2275758118
144	0.2274712161
145	0.2273994957
146	0.2272942546
147	0.2272048014
148	0.2271132938
149	0.2270217426
150	0.2269105072
151	0.2268306151
152	0.2267364582
153	0.2266624229
154	0.2265851723
155	0.2265116906
156	0.2264286558
157	0.2263556516
158	0.2262894631
159	0.2262000804
160	0.2261232414
161	0.2260317802
162	0.2259226608
163	0.2258488699
164	0.2257839096
165	0.2257247331
166	0.2256566092
167	0.2255851736
168	0.2254988513
169	0.2254322677
170	0.2253633061
171	0.2253031048
172	0.2252425379
173	0.2251711727
174	0.2251002046
175	0.2250202834
176	0.2249360225
177	0.2248513083
178	0.2247786967
179	0.224715072
180	0.2246453507
181	0.2245914601
182	0.2245043187
183	0.224443593
184	0.2243743886
185	0.2243119158
186	0.2242519835
187	0.2241928748
188	0.2241180894
189	0.2240601155
190	0.2239930525
191	0.2239447114
192	0.223862605
193	0.2237942614
194	0.223736783
195	0.22365301
196	0.2235810371
197	0.2235267572
198	0.2234533531
199	0.2233977349
200	0.2233302395
201	0.2232751265
202	0.2232192167
203	0.223168381
204	0.2231147304
205	0.2230677552
206	0.2230162309
207	0.2229561186
208	0.2228961011
209	0.2228471801
210	0.2228032888
211	0.2227513466
212	0.2226883878
213	0.2226394817
214	0.2225873436
215	0.2225396496
216	0.2224968522
217	0.2224376243
218	0.222390615
219	0.2223382655
220	0.2222998044
221	0.2222508703
222	0.2222098239
223	0.2221550698
224	0.2221012175
225	0.2220470073
226	0.2220019551
227	0.2219421112
228	0.2218893783
229	0.2218411724
230	0.2217963555
231	0.2217540042
232	0.2217214877
233	0.2216691539
234	0.2216195598
235	0.2215636563
236	0.2215122609
237	0.2214676905
238	0.221432956
239	0.2213629392
240	0.2213151821
241	0.2212686812
242	0.2212053201
243	0.2211777291
244	0.2211365175
245	0.2210911943
246	0.2210422687
247	0.220986678
248	0.2209420343
249	0.2208919058
250	0.2208580933
251	0.2208166044
252	0.2207754359
253	0.2207302536
254	0.2206724702
255	0.2206268512
256	0.220594879
257	0.2205574085
258	0.2204974054
259	0.2204551792
260	0.2204126448
261	0.2203596883
262	0.2203077745
263	0.2202686561
264	0.2202323057
265	0.2201849205
266	0.2201616364
267	0.2201223053
268	0.2200793355
269	0.2200497823
270	0.2200182468
271	0.2199925564
272	0.2199511457
273	0.2199056323
274	0.219859109
275	0.2198265445
276	0.2197871889
277	0.2197406447
278	0.2197063867
279	0.2196708788
280	0.219630839
281	0.219591432
282	0.2195475459
283	0.2194997459
284	0.2194696346
285	0.2194368253
286	0.2194033462
287	0.2193628088
288	0.2193248921
289	0.2192801729
290	0.2192396308
291	0.219204687
292	0.2191611204
293	0.2191230596
294	0.2190789317
295	0.2190347488
296	0.2189965437
297	0.2189637856
298	0.2189358599
299	0.2188960869
300	0.218867255
301	0.2188136551
302	0.2187873939
303	0.2187565126
304	0.2187262367
305	0.2186908278
306	0.2186584108
307	0.2186222774
308	0.2185928037
309	0.2185605152
310	0.2185219414
311	0.2184828032
312	0.2184386407
313	0.2184038643
314	0.218362126
315	0.2183296288
316	0.218301523
317	0.2182728846
318	0.2182465444
319	0.2182122719
320	0.2181831193
321	0.2181423582
322	0.2181018215
323	0.2180619662
324	0.2180351655
325	0.2180052508
326	0.2179752681
327	0.217943162
328	0.2179084555
329	0.2178741282
330	0.2178417034
331	0.2178067231
332	0.2177788907
333	0.2177496699
334	0.2177105731
335	0.2176782621
336	0.2176498308
337	0.2176263247
338	0.2175868055
339	0.2175636152
340	0.2175334527
341	0.2175092791
342	0.2174712044
343	0.2174400857
344	0.2174130712
345	0.217371286
346	0.2173435626
347	0.2173113485
348	0.2172655424
349	0.2172206023
350	0.2171866675
351	0.2171415586
352	0.2171178604
353	0.2170829394
354	0.2170490748
355	0.2170091162
356	0.2169754706
357	0.2169454431
358	0.2169260534
359	0.2169100835
360	0.2168778567
361	0.2168513462
362	0.2168182693
363	0.2167953912
364	0.2167664313
365	0.2167358076
366	0.2167020091
367	0.2166732296
368	0.2166489413
369	0.2166157023
370	0.2165826831
371	0.2165566711
372	0.2165311521
373	0.2164974656
374	0.2164670755
375	0.2164244033
376	0.2163994648
377	0.2163640611
378	0.2163385692
379	0.2163107919
380	0.2162857159
381	0.2162598192
382	0.2162220662
383	0.2161968581
384	0.2161553226
385	0.216134071
386	0.2161110593
387	0.2160878118
388	0.2160612083
389	0.2160354521
390	0.2160041109
391	0.2159749461
392	0.2159352476
393	0.2159036791
394	0.2158772026
395	0.2158545377
396	0.2158280684
397	0.2158000433
398	0.2157743399
399	0.2157520332
