iter	Passed	Remaining
0	21	108337
1	36	90577
2	48	80996
3	64	80502
4	77	77520
5	97	81095
6	113	81063
7	126	78882
8	140	78092
9	153	76457
10	165	74945
11	177	73732
12	195	75105
13	210	74807
14	223	74218
15	241	75259
16	255	74942
17	278	76971
18	293	76886
19	305	76155
20	322	76487
21	337	76460
22	352	76339
23	363	75427
24	376	74999
25	388	74276
26	403	74235
27	415	73865
28	428	73482
29	445	73788
30	468	75026
31	479	74519
32	493	74240
33	504	73683
34	518	73512
35	533	73531
36	545	73179
37	559	73008
38	579	73775
39	599	74302
40	622	75307
41	636	75092
42	666	76870
43	678	76454
44	690	76053
45	702	75645
46	713	75240
47	725	74894
48	742	74995
49	757	74979
50	776	75327
51	788	75052
52	803	75023
53	820	75157
54	835	75118
55	861	76051
56	877	76126
57	894	76235
58	909	76139
59	922	75971
60	936	75851
61	950	75672
62	961	75370
63	978	75469
64	991	75303
65	1003	75049
66	1020	75117
67	1032	74909
68	1048	74940
69	1067	75209
70	1082	75131
71	1105	75698
72	1133	76515
73	1150	76609
74	1171	76908
75	1203	77955
76	1256	80358
77	1280	80783
78	1302	81144
79	1340	82439
80	1354	82263
81	1378	82677
82	1392	82493
83	1416	82887
84	1430	82703
85	1448	82753
86	1461	82519
87	1475	82341
88	1490	82219
89	1505	82117
90	1517	81857
91	1531	81701
92	1544	81500
93	1555	81182
94	1568	80970
95	1586	81032
96	1601	80966
97	1615	80785
98	1628	80619
99	1640	80371
100	1654	80243
101	1670	80229
102	1685	80136
103	1698	79944
104	1711	79786
105	1732	80008
106	1748	79955
107	1767	80070
108	1784	80094
109	1811	80516
110	1831	80690
111	1851	80814
112	1869	80859
113	1908	81779
114	1935	82233
115	1949	82072
116	1969	82182
117	1981	81993
118	2002	82119
119	2019	82116
120	2030	81879
121	2044	81735
122	2058	81605
123	2070	81399
124	2085	81327
125	2096	81084
126	2111	81004
127	2130	81100
128	2145	81005
129	2168	81227
130	2180	81038
131	2192	80864
132	2203	80650
133	2217	80522
134	2228	80316
135	2240	80115
136	2254	80017
137	2266	79853
138	2279	79725
139	2291	79538
140	2304	79401
141	2316	79266
142	2330	79159
143	2342	78989
144	2356	78890
145	2385	79306
146	2405	79414
147	2417	79259
148	2435	79301
149	2454	79375
150	2478	79575
151	2494	79550
152	2512	79579
153	2534	79747
154	2550	79728
155	2568	79742
156	2596	80099
157	2615	80157
158	2638	80347
159	2655	80334
160	2677	80481
161	2691	80377
162	2709	80410
163	2723	80316
164	2736	80190
165	2752	80144
166	2782	80537
167	2799	80505
168	2814	80443
169	2825	80273
170	2838	80156
171	2854	80132
172	2866	79975
173	2877	79815
174	2892	79742
175	2903	79572
176	2915	79444
177	2926	79275
178	2940	79197
179	2957	79203
180	2974	79181
181	2994	79268
182	3006	79136
183	3018	78998
184	3031	78893
185	3044	78795
186	3058	78713
187	3075	78716
188	3088	78609
189	3103	78566
190	3114	78428
191	3127	78306
192	3139	78184
193	3154	78143
194	3176	78264
195	3201	78463
196	3227	78693
197	3241	78604
198	3267	78826
199	3281	78746
200	3295	78682
201	3321	78888
202	3336	78853
203	3362	79048
204	3374	78940
205	3391	78924
206	3407	78900
207	3427	78974
208	3443	78934
209	3455	78828
210	3469	78742
211	3483	78676
212	3495	78547
213	3509	78489
214	3520	78356
215	3531	78217
216	3549	78246
217	3561	78132
218	3580	78163
219	3592	78053
220	3607	78015
221	3620	77932
222	3632	77806
223	3647	77777
224	3659	77669
225	3674	77612
226	3694	77681
227	3726	77995
228	3767	78488
229	3783	78470
230	3803	78532
231	3815	78411
232	3834	78442
233	3848	78383
234	3869	78459
235	3892	78571
236	3915	78691
237	3928	78598
238	3947	78635
239	3958	78511
240	3970	78408
241	3987	78394
242	4009	78500
243	4029	78537
244	4040	78426
245	4061	78498
246	4074	78405
247	4087	78318
248	4099	78222
249	4113	78151
250	4123	78015
251	4135	77923
252	4148	77836
253	4160	77748
254	4174	77681
255	4186	77589
256	4207	77658
257	4225	77671
258	4242	77663
259	4263	77729
260	4279	77700
261	4290	77592
262	4305	77540
263	4318	77466
264	4336	77488
265	4348	77388
266	4360	77299
267	4373	77217
268	4395	77298
269	4420	77443
270	4433	77360
271	4463	77578
272	4495	77833
273	4512	77824
274	4533	77900
275	4548	77843
276	4575	78020
277	4611	78336
278	4632	78394
279	4648	78365
280	4663	78323
281	4679	78291
282	4730	78855
283	4766	79149
284	4783	79138
285	4797	79082
286	4824	79225
287	4857	79479
288	4874	79454
289	4893	79470
290	4908	79437
291	4927	79449
292	4941	79380
293	4954	79312
294	4971	79296
295	4988	79280
296	5000	79187
297	5016	79155
298	5029	79076
299	5044	79027
300	5070	79159
301	5086	79123
302	5098	79031
303	5110	78937
304	5124	78884
305	5136	78788
306	5150	78727
307	5161	78625
308	5173	78547
309	5189	78507
310	5201	78419
311	5221	78452
312	5238	78439
313	5257	78461
314	5272	78414
315	5289	78402
316	5307	78413
317	5323	78383
318	5343	78406
319	5355	78325
320	5371	78302
321	5383	78207
322	5395	78121
323	5415	78150
324	5428	78093
325	5444	78056
326	5456	77982
327	5474	77973
328	5492	77974
329	5535	78334
330	5554	78343
331	5571	78342
332	5585	78275
333	5601	78247
334	5617	78221
335	5639	78280
336	5655	78247
337	5675	78277
338	5690	78237
339	5706	78205
340	5723	78196
341	5740	78191
342	5755	78140
343	5771	78115
344	5785	78061
345	5801	78034
346	5817	78014
347	5831	77959
348	5848	77936
349	5862	77891
350	5882	77918
351	5895	77849
352	5908	77785
353	5923	77744
354	5935	77661
355	5949	77613
356	5962	77552
357	5978	77518
358	5990	77446
359	6007	77434
360	6021	77380
361	6034	77309
362	6045	77230
363	6059	77175
364	6072	77115
365	6085	77055
366	6101	77023
367	6112	76939
368	6126	76887
369	6139	76831
370	6151	76753
371	6165	76705
372	6182	76695
373	6202	76723
374	6218	76694
375	6240	76750
376	6258	76743
377	6279	76779
378	6291	76715
379	6306	76670
380	6322	76654
381	6336	76598
382	6349	76540
383	6363	76497
384	6376	76432
385	6392	76409
386	6405	76347
387	6420	76312
388	6434	76265
389	6446	76195
390	6458	76136
391	6478	76154
392	6493	76125
393	6511	76120
394	6524	76064
395	6545	76102
396	6569	76166
397	6582	76107
398	6596	76061
399	6614	76062
400	6625	75983
401	6638	75929
402	6654	75903
403	6669	75871
404	6682	75812
405	6699	75809
406	6713	75766
407	6731	75757
408	6744	75702
409	6761	75700
410	6781	75722
411	6796	75679
412	6815	75699
413	6839	75758
414	6855	75737
415	6874	75755
416	6888	75705
417	6906	75706
418	6920	75658
419	6933	75610
420	6948	75576
421	6962	75526
422	6974	75467
423	6996	75512
424	7008	75439
425	7019	75365
426	7032	75312
427	7047	75284
428	7059	75217
429	7071	75152
430	7086	75120
431	7099	75067
432	7112	75014
433	7132	75043
434	7153	75067
435	7166	75016
436	7180	74980
437	7197	74964
438	7213	74941
439	7247	75112
440	7264	75097
441	7276	75034
442	7291	75010
443	7310	75018
444	7324	74972
445	7340	74952
446	7356	74930
447	7372	74907
448	7386	74868
449	7403	74853
450	7421	74856
451	7433	74794
452	7450	74787
453	7463	74738
454	7479	74709
455	7495	74688
456	7516	74722
457	7530	74679
458	7551	74710
459	7572	74738
460	7593	74770
461	7605	74703
462	7622	74691
463	7638	74676
464	7651	74618
465	7670	74626
466	7683	74576
467	7700	74571
468	7713	74520
469	7744	74640
470	7769	74709
471	7788	74720
472	7803	74685
473	7814	74621
474	7826	74556
475	7841	74525
476	7860	74538
477	7873	74484
478	7888	74457
479	7905	74440
480	7918	74398
481	7936	74393
482	7950	74351
483	7966	74334
484	7981	74298
485	7993	74241
486	8005	74188
487	8022	74176
488	8035	74127
489	8047	74074
490	8063	74045
491	8077	74009
492	8089	73952
493	8110	73978
494	8122	73924
495	8139	73915
496	8152	73868
497	8165	73817
498	8184	73820
499	8196	73772
500	8219	73808
501	8237	73805
502	8252	73776
503	8263	73719
504	8279	73698
505	8299	73713
506	8318	73717
507	8338	73737
508	8354	73713
509	8371	73701
510	8396	73760
511	8410	73719
512	8422	73671
513	8442	73686
514	8458	73659
515	8478	73673
516	8490	73626
517	8506	73606
518	8519	73556
519	8535	73537
520	8556	73561
521	8573	73551
522	8592	73552
523	8618	73616
524	8630	73560
525	8654	73615
526	8668	73578
527	8686	73574
528	8702	73550
529	8723	73572
530	8737	73535
531	8753	73519
532	8772	73517
533	8786	73483
534	8801	73458
535	8813	73404
536	8827	73368
537	8847	73376
538	8859	73321
539	8870	73265
540	8888	73263
541	8907	73265
542	8919	73212
543	8940	73235
544	8958	73231
545	8974	73207
546	8988	73174
547	9002	73137
548	9015	73093
549	9030	73065
550	9044	73029
551	9061	73017
552	9072	72960
553	9088	72940
554	9102	72902
555	9114	72853
556	9131	72841
557	9147	72820
558	9166	72820
559	9178	72769
560	9194	72755
561	9212	72753
562	9229	72735
563	9249	72745
564	9265	72726
565	9278	72690
566	9292	72650
567	9305	72612
568	9319	72573
569	9330	72519
570	9351	72539
571	9394	72726
572	9408	72688
573	9420	72640
574	9442	72669
575	9470	72738
576	9487	72723
577	9502	72695
578	9515	72655
579	9528	72610
580	9546	72605
581	9566	72623
582	9584	72611
583	9608	72656
584	9625	72646
585	9648	72675
586	9666	72675
587	9680	72639
588	9700	72646
589	9724	72685
590	9738	72654
591	9750	72602
592	9767	72590
593	9782	72560
594	9799	72548
595	9819	72558
596	9832	72518
597	9845	72475
598	9862	72459
599	9880	72455
600	9892	72405
601	9905	72367
602	9919	72330
603	9933	72296
604	9944	72240
605	9959	72217
606	9972	72171
607	9983	72115
608	9996	72079
609	10008	72029
610	10022	71994
611	10038	71974
612	10050	71927
613	10063	71884
614	10082	71892
615	10095	71848
616	10106	71794
617	10119	71750
618	10134	71728
619	10145	71674
620	10159	71638
621	10171	71590
622	10189	71586
623	10202	71545
624	10214	71504
625	10228	71466
626	10241	71426
627	10257	71409
628	10272	71385
629	10284	71337
630	10298	71305
631	10310	71257
632	10321	71210
633	10339	71204
634	10356	71193
635	10374	71183
636	10384	71129
637	10397	71090
638	10413	71072
639	10425	71023
640	10443	71018
